"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2023","76.584198","77.344597","77.689346","75.703903","","-0.94%"
"10/23/2023","77.309303","78.173599","78.709648","76.543648","","-1.06%"
"10/20/2023","78.137901","78.640251","79.606598","77.660950","","-0.22%"
"10/19/2023","78.309799","80.372353","80.868752","78.213852","","-2.52%"
"10/18/2023","80.335701","80.234451","80.645599","79.042648","","-0.01%"
"10/17/2023","80.344200","79.849648","80.566452","79.387802","","0.67%"
"10/16/2023","79.813202","79.964897","80.491753","79.144699","","-0.14%"
"10/13/2023","79.928497","79.912399","80.481796","78.476646","","0.07%"
"10/12/2023","79.875999","82.268852","82.268852","78.045898","","-2.91%"
"10/11/2023","82.268852","82.211601","82.897247","79.874199","","0.12%"
"10/10/2023","82.174202","81.691254","83.168053","80.305099","","0.59%"
"10/09/2023","81.691254","82.856049","84.960350","80.538902","","-1.36%"
"10/06/2023","82.818398","81.938850","84.517403","79.866699","","0.90%"
"10/05/2023","82.082649","81.586647","82.595001","80.516853","","0.41%"
"10/04/2023","81.750504","81.941948","82.847198","80.372253","","-0.23%"
"10/03/2023","81.941948","80.983147","82.461746","79.983452","","1.18%"
"10/02/2023","80.983147","80.327400","82.117897","79.171349","","0.85%"
"09/29/2023","80.299004","79.309898","80.794647","78.211151","","1.62%"
"09/28/2023","79.018799","79.680946","80.357101","78.457199","","-0.83%"
"09/27/2023","79.680946","79.212097","80.288101","77.369453","","0.59%"
"09/26/2023","79.212601","77.760048","80.645500","77.698647","","1.92%"
"09/25/2023","77.720001","78.856750","79.453346","77.687698","","-1.44%"
"09/22/2023","78.856750","78.097054","79.547203","77.733902","","0.97%"
"09/21/2023","78.097054","78.806000","79.921753","77.506447","","-0.91%"
"09/20/2023","78.814499","78.895500","80.231697","78.294250","","-0.10%"
"09/19/2023","78.895500","78.903648","80.837700","77.908798","","0.04%"
"09/18/2023","78.867500","79.507553","80.862198","77.897552","","-0.65%"
"09/15/2023","79.383148","79.056747","80.467697","78.050697","","0.41%"
"09/14/2023","79.060097","79.125603","80.054497","77.945900","","0.00%"
"09/13/2023","79.062302","78.817650","80.773598","76.102150","","0.48%"
"09/12/2023","78.684799","78.143753","80.047852","75.859200","","0.69%"
"09/11/2023","78.143753","80.471153","80.852951","77.844200","","-2.89%"
"09/08/2023","80.471153","81.156052","81.618202","79.654449","","-0.84%"
"09/07/2023","81.156052","81.040550","81.649902","79.390900","","0.14%"
"09/06/2023","81.040550","79.777451","81.597649","79.630150","","1.45%"
"09/05/2023","79.880501","80.042099","81.276047","79.127502","","-0.16%"
"09/04/2023","80.005302","79.653748","80.550148","78.799301","","0.49%"
"09/01/2023","79.617104","79.222748","80.314903","78.349701","","0.50%"
"08/31/2023","79.222748","79.653099","80.467148","78.263603","","-0.34%"
"08/30/2023","79.492104","79.045151","80.777847","78.561302","","0.61%"
"08/29/2023","79.008698","78.278954","80.714699","76.553352","","0.98%"
"08/28/2023","78.242798","79.121452","79.875603","77.659798","","-0.54%"
"08/25/2023","78.670502","78.429901","80.854446","76.418854","","0.31%"
"08/24/2023","78.429901","77.894798","80.317352","76.211349","","0.73%"
"08/23/2023","77.858803","78.164551","79.207901","75.765549","","-0.39%"
"08/22/2023","78.164551","77.272552","78.852600","76.513046","","1.80%"
"08/21/2023","76.785400","78.821251","79.686203","76.294250","","-2.58%"
"08/18/2023","78.821251","78.318497","80.288254","75.330597","","0.64%"
"08/17/2023","78.318497","80.528099","80.694298","75.085197","","-2.74%"
"08/16/2023","80.528099","81.987953","82.004547","75.998299","","-1.78%"
"08/15/2023","81.987953","81.450500","83.736801","77.637604","","1.05%"
"08/14/2023","81.133003","83.039703","85.315247","79.561501","","-2.17%"
"08/11/2023","82.930351","83.184052","83.611298","79.722000","","-0.62%"
"08/10/2023","83.446548","83.033348","84.547752","81.897499","","0.55%"
"08/09/2023","82.993896","83.331802","84.645149","81.439903","","-0.41%"
"08/08/2023","83.331802","82.013153","84.136047","80.689499","","1.74%"
"08/07/2023","81.906052","82.225754","83.967453","81.262703","","-0.39%"
"08/04/2023","82.225754","81.560852","84.081146","78.139252","","1.35%"
"08/03/2023","81.131599","80.918297","83.919998","79.315948","","0.26%"
"08/02/2023","80.918297","79.428398","81.498848","78.205948","","1.92%"
"08/01/2023","79.390404","78.971252","79.856453","77.697998","","0.58%"
"07/31/2023","78.933403","79.361450","80.147552","77.339798","","-0.54%"
"07/28/2023","79.361450","78.188698","79.975700","76.767548","","1.55%"
"07/27/2023","78.151100","77.419853","78.704201","76.394348","","0.99%"
"07/26/2023","77.382698","77.714203","78.303650","76.514999","","-0.43%"
"07/25/2023","77.714546","78.007599","78.649101","76.547348","","-0.03%"
"07/24/2023","77.735703","77.950203","79.269501","76.180550","","-0.28%"
"07/21/2023","77.950203","77.978104","79.026398","76.936401","","-0.04%"
"07/20/2023","77.978500","78.952202","79.695747","77.484650","","-1.34%"
"07/19/2023","79.034500","78.318947","79.501747","77.151497","","1.56%"
"07/18/2023","77.818901","77.960747","79.412598","76.952103","","-0.18%"
"07/17/2023","77.961098","77.951851","78.908546","77.179802","","0.06%"
"07/14/2023","77.914299","77.813751","78.645447","77.026352","","0.18%"
"07/13/2023","77.776299","78.064247","79.345848","76.924950","","-0.32%"
"07/12/2023","78.026703","78.191597","78.931999","76.936897","","-0.21%"
"07/11/2023","78.191948","78.836304","79.275650","77.021248","","-0.82%"
"07/10/2023","78.836601","78.875748","82.108597","77.663696","","0.30%"
"07/07/2023","78.600700","78.983353","80.349449","77.471703","","-0.44%"
"07/06/2023","78.945297","78.747849","82.800049","77.117302","","0.25%"
"07/05/2023","78.748199","78.890404","79.503197","76.761398","","-0.13%"
